original_user_id,block,condition
1042575939308269568,0_0_0,2
1042734849147260800,0_0_0,2
104291858,0_0_0,2
1043111115474000000,0_0_0,2
1043267853917605760,0_0_0,2
1043561539,0_0_0,2
1043663694608000000,0_0_0,2
1044001211253501952,0_0_0,2
1044168385,0_0_0,2
1044311935435632640,0_0_0,2
1044681226328698752,0_0_0,2
104495614,0_0_0,2
1045013977338695552,0_0_0,2
1045151875845087232,0_0_0,2
104532571,0_0_0,2
1045466923562139648,0_0_0,2
1045863428710191232,0_0_0,2
1046267527,0_0_0,2
1046394736276361216,0_0_0,2
1046536598362308608,0_0_0,2
1046559790510604160,0_0_0,2
1046658488,0_0_0,2
1046933372310827008,0_0_0,2
1047193859334144000,0_0_0,2
1047213209655103360,0_0_0,2
1047515606998831232,0_0_0,2
1047663854870642560,0_0_0,2
1048247345090088832,0_0_0,2
1048299662749433856,0_0_0,2
1048525487834771456,0_0_0,2
1048580763917008768,0_0_0,2
1048649173212561408,0_0_0,2
1048685988917080064,0_0_0,2
1048989127,0_0_0,2
1049027469158883200,0_0_0,2
1049066530116329344,0_0_0,2
104917414,0_0_0,2
104932955,0_0_0,2
104970805,0_0_0,2
1049812265933971456,0_0_0,2
1049885534275932032,0_0_0,2
1050005940089556736,0_0_0,2
1050215058045894656,0_0_0,2
1050501496708755456,0_0_0,2
1050744142714851200,0_0_0,2
1050844003,0_0_0,2
1051564812847722368,0_0_0,2
1051606177765891968,0_0_0,2
105193962,0_0_0,2
1051960330635468800,0_0_0,2
105220309,0_0_0,2
1052716628,0_0_0,2
1052815826,0_0_0,2
1052955577754767232,0_0_0,2
1053325660473737216,0_0_0,2
1053398215431729152,0_0_0,2
1053647846,0_0_0,2
1053790852877901824,0_0_0,2
1053879984727634048,0_0_0,2
1053963834,0_0_0,2
1054103251,0_0_0,2
1054601470438453248,0_0_0,2
1054857044375662336,0_0_0,2
1054906784455016448,0_0_0,2
1055170968631554048,0_0_0,2
1055502339891699584,0_0_0,2
105557037,0_0_0,2
1055927996,0_0_0,2
1056157145631051648,0_0_0,2
105634328,0_0_0,2
1056528967,0_0_0,2
1056598795084066816,0_0_0,2
1056979198882000000,0_0_0,2
1057028917482143616,0_0_0,2
1057092937408905216,0_0_0,2
1057286252,0_0_0,2
1057593139488276352,0_0_0,2
1057736268774293632,0_0_0,2
1058303029,0_0_0,2
1058599297,0_0_0,2
105885277,0_0_0,2
1059073062,0_0_0,2
1059179029650178048,0_0_0,2
105925616,0_0_0,2
1059532928609247232,0_0_0,2
1059682345,0_0_0,2
1059855100770967552,0_0_0,2
106000810,0_0_0,2
1060135120101957632,0_0_0,2
1060323501268221952,0_0_0,2
1060363940566392832,0_0_0,2
1060388119973953536,0_0_0,2
1060660842608427008,0_0_0,2
106083303,0_0_0,2
1061269270418591616,0_0_0,2
1061380241698877440,0_0_0,2
1061777980882599936,0_0_0,2
1061834831666073600,0_0_0,2
1062021721216204800,0_0_0,2
1062177700847193984,0_0_0,2
106247222,0_0_0,2
1062551900921356160,0_0_0,2
1062858043787042816,0_0_0,2
1063223626462371840,0_0_0,2
106338072,0_0_0,2
1063406276,0_0_0,2
1063514103086501760,0_0_0,2
1063652598559924224,0_0_0,2
1063842496483078016,0_0_0,2
1063937668881530752,0_0_0,2
1064275838072438784,0_0_0,2
1064348077371399936,0_0_0,2
1064602092,0_0_0,2
106461818,0_0_0,2
1064744232286605184,0_0_0,2
1064915617264869248,0_0_0,2
106516708,0_0_0,2
106549780,0_0_0,2
1065883424,0_0_0,2
1066159848306458624,0_0_0,2
1066410271,0_0_0,2
1066775528,0_0_0,2
1066870909,0_0_0,2
10669932,0_0_0,2
1067145882087362432,0_0_0,2
1067290239486570368,0_0_0,2
1067486807921545216,0_0_0,2
1067673477442809856,0_0_0,2
1067787520048537600,0_0_0,2
1067903871899578368,0_0_0,2
1068003682187267968,0_0_0,2
1068562927,0_0_0,2
106887255,0_0_0,2
1069138216723337216,0_0_0,2
1069276362,0_0_0,2
106939071,0_0_0,2
1069534219,0_0_0,2
1069705495,0_0_0,2
1069767078,0_0_0,2
1069812263576493952,0_0_0,2
106986036,0_0_0,2
1069994270755643136,0_0_0,2
1070128260770611200,0_0_0,2
1070342648,0_0_0,2
1070474672926416768,0_0_0,2
1070776191550926848,0_0_0,2
1070998211840667648,0_0_0,2
1071044450162536448,0_0_0,2
1071180512977408000,0_0_0,2
107138567,0_0_0,2
107161389,0_0_0,2
1071708660,0_0_0,2
1071871836894519168,0_0_0,2
1071997304079556608,0_0_0,2
1072209515339227136,0_0_0,2
1072506583484170240,0_0_0,2
1072537824,0_0_0,2
107266220,0_0_0,2
1072852858062680064,0_0_0,2
1073037168824733568,0_0_0,2
1073336816806317952,0_0_0,2
107342664,0_0_0,2
1074008324,0_0_0,2
1074087493044191232,0_0_0,2
1074367658261430144,0_0_0,2
1074585902251298816,0_0_0,2
1074675190221676416,0_0_0,2
107478884,0_0_0,2
1074850230078767232,0_0_0,2
1075156620626280448,0_0_0,2
1075198580196065152,0_0_0,2
1075296755414110208,0_0_0,2
1075449972257107968,0_0_0,2
107552289,0_0_0,2
1075857262663602048,0_0_0,2
1075954302907121664,0_0_0,2
1076282641874210816,0_0_0,2
1076633648630243200,0_0_0,2
1076686487209607168,0_0_0,2
1076738229959909248,0_0_0,2
1077040023151800448,0_0_0,2
1077243379673513984,0_0_0,2
1077316599663808384,0_0_0,2
1077532146,0_0_0,2
1077601449578778624,0_0_0,2
1077767928064421760,0_0_0,2
1078035498373992448,0_0_0,2
1078123283265060864,0_0_0,2
1078587756,0_0_0,2
1078769711096233984,0_0_0,2
1079143054987153408,0_0_0,2
1079400389261385600,0_0_0,2
1079608401687183232,0_0_0,2
1079832543321513984,0_0_0,2
1080171056629837824,0_0_0,2
1080590982083686400,0_0_0,2
1080697200538279936,0_0_0,2
1081232804804026368,0_0_0,2
108130485,0_0_0,2
1081335367960354816,0_0_0,2
1081587631878782848,0_0_0,2
108166270,0_0_0,2
1081707678282514432,0_0_0,2
1081729507420242048,0_0_0,2
1081770770387402752,0_0_0,2
1081844361367834624,0_0_0,2
1082049028324507648,0_0_0,2
1082121141265719168,0_0_0,2
1082202837407416448,0_0_0,2
1082387499735953408,0_0_0,2
1082518548621086848,0_0_0,2
1082798663364157440,0_0_0,2
1083022330538979200,0_0_0,2
1083093587154423808,0_0_0,2
1083403039975895040,0_0_0,2
1083599156,0_0_0,2
1083864342,0_0_0,2
1083952094560898944,0_0_0,2
108410755,0_0_0,2
1084251018,0_0_0,2
108451854,0_0_0,2
1084602053261840384,0_0_0,2
1085017181841182848,0_0_0,2
1085149525,0_0_0,2
1085564356090257408,0_0_0,2
1085776146052988800,0_0_0,2
108593768,0_0_0,2
1086150706698964736,0_0_0,2
108648190,0_0_0,2
1086560574345863168,0_0_0,2
1087090520,0_0_0,2
1087195946767843200,0_0_0,2
1087376341,0_0_0,2
1087777378124869632,0_0_0,2
1087882163243155456,0_0_0,2
108799322,0_0_0,2
1088137335064031232,0_0_0,2
1088177720033533952,0_0_0,2
1088260401622667264,0_0_0,2
1088503617533955968,0_0_0,2
1088937927961264000,0_0_0,2
1089393994830934016,0_0_0,2
1089645498774937600,0_0_0,2
1089924415557721984,0_0_0,2
1090073497777332224,0_0_0,2
1090301364171882368,0_0_0,2
1090465637523210240,0_0_0,2
1090526945215987584,0_0_0,2
1090693963684679552,0_0_0,2
1090822088120782848,0_0_0,2
1090990094,0_0_0,2
109124863,0_0_0,2
1091698705143607168,0_0_0,2
1091898842621100032,0_0_0,2
1092174423522754432,0_0_0,2
1092246614,0_0_0,2
1092482439941947136,0_0_0,2
1092698923859271552,0_0_0,2
